,0
0,5.0
1,2.0
2,8.0
3,8.0
4,2.0
5,2.0
6,2.0
7,8.0
8,1.0
9,3.0
10,8.0
11,1.0
12,7.0
13,4.0
14,0.0
15,9.0
16,2.0
17,8.0
18,9.0
19,2.0
20,2.0
21,3.0
22,2.0
23,7.0
24,5.0
25,5.0
26,6.0
27,2.0
28,8.0
29,1.0
30,9.0
31,4.0
32,7.0
33,9.0
34,1.0
35,2.0
36,8.0
37,5.0
38,9.0
39,3.0
40,2.0
41,5.0
42,9.0
43,5.0
44,4.0
45,2.0
46,3.0
47,8.0
48,8.0
49,3.0
50,6.0
51,9.0
52,4.0
53,3.0
54,5.0
55,4.0
56,2.0
57,5.0
58,8.0
59,3.0
60,0.0
61,8.0
62,9.0
63,2.0
64,4.0
65,8.0
66,9.0
67,2.0
68,3.0
69,7.0
70,5.0
71,2.0
72,1.0
73,6.0
74,9.0
75,5.0
76,0.0
77,2.0
78,8.0
79,0.0
80,2.0
81,4.0
82,2.0
83,8.0
84,0.0
85,2.0
86,2.0
87,8.0
88,2.0
89,2.0
90,2.0
91,2.0
92,7.0
93,1.0
94,2.0
95,5.0
96,8.0
97,8.0
98,7.0
99,8.0
100,9.0
101,0.0
102,1.0
103,5.0
104,4.0
105,2.0
106,0.0
107,2.0
108,5.0
109,2.0
110,4.0
111,4.0
112,9.0
113,6.0
114,2.0
115,5.0
116,2.0
117,3.0
118,4.0
119,3.0
120,2.0
121,5.0
122,4.0
123,9.0
124,7.0
125,5.0
126,7.0
127,2.0
128,7.0
129,4.0
130,8.0
131,2.0
132,8.0
133,7.0
134,8.0
135,6.0
136,7.0
137,3.0
138,8.0
139,9.0
140,7.0
141,3.0
142,3.0
143,3.0
144,8.0
145,1.0
146,9.0
147,8.0
148,3.0
149,5.0
150,5.0
151,3.0
152,9.0
153,3.0
154,3.0
155,0.0
156,3.0
157,1.0
158,3.0
159,5.0
160,8.0
161,3.0
162,2.0
163,3.0
164,7.0
165,0.0
166,3.0
167,7.0
168,2.0
169,4.0
170,3.0
171,3.0
172,8.0
173,1.0
174,6.0
175,6.0
176,2.0
177,7.0
178,3.0
179,8.0
180,6.0
181,5.0
182,0.0
183,9.0
184,8.0
185,0.0
186,7.0
187,4.0
188,9.0
189,2.0
190,8.0
191,3.0
192,8.0
193,2.0
194,8.0
195,9.0
196,8.0
197,9.0
198,8.0
199,2.0
200,9.0
201,8.0
202,8.0
203,1.0
204,7.0
205,4.0
206,2.0
207,8.0
208,9.0
209,2.0
210,4.0
211,2.0
212,0.0
213,9.0
214,5.0
215,2.0
216,2.0
217,1.0
218,5.0
219,3.0
220,1.0
221,2.0
222,9.0
223,8.0
224,9.0
225,7.0
226,1.0
227,4.0
228,9.0
229,2.0
230,0.0
231,4.0
232,8.0
233,6.0
234,3.0
235,8.0
236,8.0
237,1.0
238,8.0
239,1.0
240,3.0
241,9.0
242,2.0
243,9.0
244,1.0
245,2.0
246,0.0
247,0.0
248,2.0
249,8.0
250,4.0
251,2.0
252,6.0
253,3.0
254,9.0
255,0.0
256,7.0
257,7.0
258,2.0
259,2.0
260,7.0
261,5.0
262,1.0
263,4.0
264,2.0
265,2.0
266,6.0
267,2.0
268,6.0
269,2.0
270,2.0
271,7.0
272,4.0
273,2.0
274,7.0
275,2.0
276,7.0
277,5.0
278,8.0
279,0.0
280,7.0
281,1.0
282,4.0
283,5.0
284,6.0
285,9.0
286,5.0
287,9.0
288,4.0
289,4.0
290,2.0
291,5.0
292,6.0
293,2.0
294,7.0
295,7.0
296,2.0
297,2.0
298,0.0
299,9.0
300,6.0
301,5.0
302,8.0
303,0.0
304,2.0
305,7.0
306,2.0
307,2.0
308,1.0
309,3.0
310,2.0
311,4.0
312,3.0
313,0.0
314,2.0
315,7.0
316,6.0
317,0.0
318,8.0
319,3.0
320,9.0
321,9.0
322,2.0
323,5.0
324,6.0
325,2.0
326,7.0
327,6.0
328,2.0
329,9.0
330,2.0
331,4.0
332,7.0
333,6.0
334,2.0
335,8.0
336,4.0
337,7.0
338,2.0
339,0.0
340,6.0
341,5.0
342,1.0
343,7.0
344,2.0
345,2.0
346,7.0
347,6.0
348,2.0
349,6.0
350,2.0
351,1.0
352,7.0
353,2.0
354,7.0
355,6.0
356,6.0
357,5.0
358,2.0
359,7.0
360,2.0
361,3.0
362,7.0
363,2.0
364,6.0
365,8.0
366,2.0
367,3.0
368,9.0
369,7.0
370,8.0
371,3.0
372,6.0
373,7.0
374,2.0
375,7.0
376,8.0
377,9.0
378,6.0
379,2.0
380,2.0
381,7.0
382,3.0
383,3.0
384,8.0
385,2.0
386,7.0
387,2.0
388,6.0
389,2.0
390,4.0
391,7.0
392,7.0
393,5.0
394,7.0
395,9.0
396,7.0
397,6.0
398,7.0
399,2.0
400,2.0
401,6.0
402,3.0
403,2.0
404,2.0
405,8.0
406,5.0
407,4.0
408,0.0
409,8.0
410,9.0
411,3.0
412,9.0
413,4.0
414,1.0
415,5.0
416,7.0
417,8.0
418,4.0
419,9.0
420,8.0
421,9.0
422,8.0
423,7.0
424,0.0
425,9.0
426,3.0
427,9.0
428,4.0
429,8.0
430,4.0
431,2.0
432,9.0
433,4.0
434,8.0
435,8.0
436,9.0
437,3.0
438,9.0
439,7.0
440,8.0
441,2.0
442,0.0
443,4.0
444,0.0
445,6.0
446,1.0
447,4.0
448,6.0
449,7.0
450,9.0
451,2.0
452,2.0
453,5.0
454,6.0
455,4.0
456,1.0
457,7.0
458,5.0
459,5.0
460,4.0
461,4.0
462,2.0
463,6.0
464,9.0
465,9.0
466,2.0
467,0.0
468,4.0
469,9.0
470,1.0
471,7.0
472,4.0
473,7.0
474,4.0
475,2.0
476,0.0
477,0.0
478,2.0
479,4.0
480,0.0
481,3.0
482,6.0
483,2.0
484,2.0
485,7.0
486,7.0
487,2.0
488,3.0
489,8.0
490,3.0
491,1.0
492,2.0
493,8.0
494,7.0
495,3.0
496,9.0
497,2.0
498,6.0
499,0.0
500,6.0
501,2.0
502,0.0
503,8.0
504,6.0
505,3.0
506,8.0
507,1.0
508,3.0
509,9.0
510,4.0
511,2.0
512,3.0
513,3.0
514,8.0
515,3.0
516,9.0
517,4.0
518,7.0
519,5.0
520,6.0
521,4.0
522,2.0
523,6.0
524,2.0
525,3.0
526,4.0
527,9.0
528,4.0
529,0.0
530,1.0
531,2.0
532,3.0
533,8.0
534,7.0
535,8.0
536,8.0
537,7.0
538,2.0
539,2.0
540,5.0
541,6.0
542,2.0
543,4.0
544,3.0
545,4.0
546,2.0
547,9.0
548,6.0
549,2.0
550,8.0
551,4.0
552,2.0
553,2.0
554,9.0
555,6.0
556,9.0
557,2.0
558,7.0
559,8.0
560,4.0
561,4.0
562,7.0
563,2.0
564,6.0
565,2.0
566,3.0
567,6.0
568,9.0
569,8.0
570,2.0
571,7.0
572,9.0
573,7.0
574,0.0
575,8.0
576,3.0
577,5.0
578,4.0
579,8.0
580,7.0
581,6.0
582,9.0
583,2.0
584,4.0
585,1.0
586,3.0
587,2.0
588,1.0
589,0.0
590,6.0
591,7.0
592,0.0
593,0.0
594,6.0
595,9.0
596,7.0
597,5.0
598,6.0
599,3.0
600,9.0
601,0.0
602,6.0
603,2.0
604,3.0
605,6.0
606,1.0
607,0.0
608,3.0
609,0.0
610,2.0
611,6.0
612,2.0
613,9.0
614,5.0
615,8.0
616,4.0
617,3.0
618,3.0
619,3.0
620,5.0
621,3.0
622,2.0
623,2.0
624,8.0
625,3.0
626,7.0
627,4.0
628,6.0
629,7.0
630,1.0
631,4.0
632,9.0
633,4.0
634,2.0
635,4.0
636,2.0
637,3.0
638,9.0
639,8.0
640,0.0
641,0.0
642,9.0
643,7.0
644,5.0
645,3.0
646,7.0
647,7.0
648,2.0
649,2.0
650,2.0
651,4.0
652,5.0
653,6.0
654,8.0
655,6.0
656,4.0
657,4.0
658,3.0
659,2.0
660,7.0
661,9.0
662,8.0
663,1.0
664,4.0
665,1.0
666,6.0
667,1.0
668,5.0
669,2.0
670,0.0
671,2.0
672,7.0
673,5.0
674,7.0
675,0.0
676,6.0
677,0.0
678,3.0
679,4.0
680,7.0
681,0.0
682,2.0
683,8.0
684,1.0
685,2.0
686,3.0
687,8.0
688,4.0
689,9.0
690,4.0
691,7.0
692,4.0
693,1.0
694,9.0
695,2.0
696,3.0
697,3.0
698,0.0
699,9.0
700,7.0
701,6.0
702,6.0
703,9.0
704,8.0
705,5.0
706,4.0
707,9.0
708,6.0
709,1.0
710,6.0
711,6.0
712,9.0
713,1.0
714,2.0
715,3.0
716,4.0
717,2.0
718,9.0
719,4.0
720,2.0
721,9.0
722,3.0
723,8.0
724,7.0
725,7.0
726,8.0
727,2.0
728,7.0
729,2.0
730,8.0
731,7.0
732,8.0
733,9.0
734,8.0
735,0.0
736,3.0
737,0.0
738,2.0
739,2.0
740,2.0
741,7.0
742,7.0
743,5.0
744,3.0
745,1.0
746,3.0
747,2.0
748,9.0
749,9.0
750,4.0
751,2.0
752,0.0
753,2.0
754,2.0
755,7.0
756,8.0
757,9.0
758,0.0
759,2.0
760,9.0
761,8.0
762,9.0
763,3.0
764,6.0
765,6.0
766,0.0
767,2.0
768,7.0
769,5.0
770,2.0
771,0.0
772,2.0
773,9.0
774,2.0
775,7.0
776,3.0
777,0.0
778,7.0
779,2.0
780,0.0
781,7.0
782,6.0
783,9.0
784,6.0
785,2.0
786,5.0
787,4.0
788,6.0
789,3.0
790,0.0
791,7.0
792,9.0
793,9.0
794,3.0
795,9.0
796,4.0
797,9.0
798,7.0
799,1.0
800,2.0
801,2.0
802,9.0
803,9.0
804,8.0
805,5.0
806,4.0
807,8.0
808,4.0
809,2.0
810,2.0
811,4.0
812,5.0
813,1.0
814,1.0
815,7.0
816,8.0
817,5.0
818,5.0
819,9.0
820,3.0
821,5.0
822,3.0
823,6.0
824,7.0
825,0.0
826,9.0
