,0
0,8.0
1,2.0
2,6.0
3,2.0
4,2.0
5,2.0
6,7.0
7,5.0
8,8.0
9,7.0
10,4.0
11,8.0
12,2.0
13,2.0
14,2.0
15,0.0
16,8.0
17,9.0
18,9.0
19,8.0
20,4.0
21,3.0
22,6.0
23,7.0
24,0.0
25,9.0
26,5.0
27,4.0
28,4.0
29,5.0
30,3.0
31,9.0
32,4.0
33,3.0
34,2.0
35,2.0
36,9.0
37,2.0
38,2.0
39,4.0
40,7.0
41,3.0
42,2.0
43,5.0
44,3.0
45,8.0
46,2.0
47,9.0
48,3.0
49,7.0
50,9.0
51,8.0
52,9.0
53,3.0
54,8.0
55,3.0
56,7.0
57,3.0
58,9.0
59,5.0
60,4.0
61,0.0
62,3.0
63,2.0
64,8.0
65,1.0
66,2.0
67,0.0
68,4.0
69,0.0
70,5.0
71,4.0
72,7.0
73,8.0
74,8.0
75,4.0
76,4.0
77,4.0
78,8.0
79,2.0
80,4.0
81,0.0
82,0.0
83,5.0
84,8.0
85,4.0
86,9.0
87,8.0
88,2.0
89,2.0
90,2.0
91,3.0
92,6.0
93,3.0
94,7.0
95,8.0
96,7.0
97,5.0
98,4.0
99,2.0
100,5.0
101,2.0
102,2.0
103,8.0
104,2.0
105,4.0
106,6.0
107,4.0
108,7.0
109,0.0
110,8.0
111,2.0
112,9.0
113,9.0
114,0.0
115,2.0
116,2.0
117,0.0
118,6.0
119,4.0
120,2.0
121,8.0
122,7.0
123,4.0
124,2.0
125,4.0
126,3.0
127,5.0
128,8.0
129,8.0
130,4.0
131,3.0
132,5.0
133,4.0
134,7.0
135,2.0
136,0.0
137,4.0
138,4.0
139,7.0
140,0.0
141,8.0
142,6.0
143,6.0
144,2.0
145,4.0
146,8.0
147,5.0
148,7.0
149,9.0
150,5.0
151,7.0
152,1.0
153,1.0
154,8.0
155,5.0
156,4.0
157,5.0
158,5.0
159,2.0
160,8.0
161,5.0
162,7.0
163,3.0
164,3.0
165,8.0
166,5.0
167,9.0
168,6.0
169,4.0
